PM2.5,PM10,NO2,SO2,CO,O3,AQI,Category
12,35,18,5,0.4,42,45,Good
18,48,25,7,0.5,38,58,Good
25,55,32,9,0.6,45,72,Moderate
32,68,40,12,0.7,52,86,Moderate
45,82,48,15,0.9,55,105,Unhealthy
52,95,55,18,1.0,48,118,Unhealthy
60,110,62,20,1.2,44,132,Unhealthy
70,125,70,24,1.4,40,148,Unhealthy
82,140,78,28,1.6,35,165,Unhealthy
95,160,85,32,1.8,30,185,Unhealthy
110,180,95,38,2.0,28,210,Hazardous
125,200,105,42,2.3,25,235,Hazardous
140,220,115,48,2.6,22,260,Hazardous
155,240,125,55,2.9,20,285,Hazardous
170,260,135,60,3.2,18,310,Hazardous
10,30,15,4,0.3,50,38,Good
15,40,20,6,0.4,47,50,Good
22,52,28,8,0.5,44,65,Good
28,60,35,10,0.6,48,78,Moderate
36,72,43,13,0.8,51,92,Moderate
48,88,52,16,1.0,46,110,Unhealthy
58,102,60,19,1.1,43,125,Unhealthy
68,118,68,23,1.3,41,142,Unhealthy
78,135,75,27,1.5,37,158,Unhealthy
90,150,82,30,1.7,33,178,Unhealthy
105,175,92,35,1.9,29,200,Unhealthy
120,195,102,40,2.2,26,225,Hazardous
135,215,112,46,2.5,23,250,Hazardous
150,235,122,52,2.8,21,275,Hazardous
165,255,132,58,3.1,19,300,Hazardous
